Software,Version,PreviousVersion,NewFeatures,Improvements,Bugfixes,Commits,FileChanged,FileChangedPerCommit,Addition,Deletion,Addition/Deletion,AdditionPerCommit,DeletionPerCommit,Contributors,FileChangedPerContributor,StartDate,EndDate,ElapsedTimeBetweenTwoVersions,ChangesPerMonth,ChangeItemsPerContributor,NOM,LOC,LOC/NOM,MVG,MVG/NOM,COM,COM/NOM,IF4,IF4/NOM,WMC,DIT,NOC,CBO,ReliabilityScore,Reliability
FastDDS,v2.9.0,v2.8.0,5,3,30,59,439,7.440677966,26988,16095,1.676794035,457.4237288,272.7966102,16,27.4375,9/29/2022,12/12/2022,74,15.40540541,2.375,618,92908,150.337,18470,29.887,16188,26.194,721646,1167.712,17.59,0.11,0.04,7.32,0.2105263158,0
FastDDS,v2.8.0,v2.7.0,13,18,25,75,410,5.466666667,53763,17621,3.051075421,716.84,234.9466667,24,17.08333333,7/5/2022,9/29/2022,86,19.53488372,2.333333333,353,48052,136.125,8841,25.045,14706,41.66,202403,573.38,22.9,0.18,0.05,8.62,0.5535714286,1
FastDDS,v2.7.0,v2.6.0,0,19,12,67,980,14.62686567,23359,43067,0.5423874428,348.641791,642.7910448,24,40.83333333,3/17/2022,7/5/2022,110,8.454545455,1.291666667,384,48400,126.042,8354,21.755,13002,33.859,302644,788.135,19.41,0.35,0.12,8.86,0.6129032258,0
FastDDS,v2.6.0,v2.5.0,8,12,29,69,752,10.89855072,61944,22634,2.736767695,897.7391304,328.0289855,17,44.23529412,12/23/2021,3/17/2022,84,17.5,2.882352941,374,47137,126.035,8306,22.209,15505,41.457,155716,416.353,20.1,0.32,0.11,7.21,0.4081632653,0
FastDDS,v2.5.0,v2.4.0,8,21,27,64,435,6.796875,45443,21829,2.081771955,710.046875,341.078125,19,22.89473684,9/21/2021,12/23/2021,93,18.06451613,2.947368421,400,63963,159.907,12353,30.882,15303,38.257,165807,414.517,24.07,0.23,0.06,9.08,0.5178571429,0
FastDDS,v2.4.0,v2.3.0,6,28,69,120,460,3.833333333,34569,13576,2.546331762,288.075,113.1333333,30,15.33333333,3/31/2021,9/21/2021,174,17.75862069,3.433333333,410,64132,156.42,12022,29.322,14408,35.141,495877,1209.456,20.46,0.25,0.1,8.31,0.3300970874,0
FastDDS,v2.3.0,v2.2.0,7,10,19,65,414,6.369230769,26373,7934,3.324048399,405.7384615,122.0615385,20,20.7,1/29/2021,3/31/2021,61,17.70491803,1.8,454,60089,132.355,10289,22.663,18799,41.407,389207,857.284,20.15,0.36,0.16,8.51,0.4722222222,0
FastDDS,v2.2.0,v2.1.0,4,10,26,74,563,7.608108108,48335,16054,3.010776131,653.1756757,216.9459459,22,25.59090909,11/17/2020,1/29/2021,73,16.43835616,1.818181818,394,59967,152.201,10598,26.898,15556,39.482,260091,660.129,21.21,0.25,0.11,8.43,0.35,0
FastDDS,v2.1.0,v2.0.0,7,17,25,146,1167,7.993150685,158761,62263,2.549845012,1087.40411,426.4589041,32,36.46875,7/1/2020,11/17/2020,139,10.57553957,1.53125,499,76307,152.92,13811,27.677,19268,38.613,736871,1476.695,18.41,0.69,0.24,8.3,0.4897959184,0
FastDDS,v2.0.0,v1.10.0,4,7,1,97,918,9.463917526,92184,27903,3.303730782,950.3505155,287.6597938,19,48.31578947,4/3/2020,7/1/2020,89,4.04494382,0.6315789474,542,48005,88.57,7968,14.701,22184,40.93,210809,388.946,12.05,0.55,0.43,5.54,0.9166666667,1
